REGION,REGION_NAME
1,Northeast
2,Midwest
3,South
4,West
9,Not in a region (Puerto Rico)
,
https://www2.census.gov/programs-surveys/decennial/2020/technical-documentation/complete-tech-docs/summary-file/2020Census_PL94_171Redistricting_NationalTechDoc.pdf,
pg 31/201,
